,0,1,2,3,4,5,6,7,8
0,20,18,18,20,20,96,50,50,100
1,18,19,20,19,19,95,49,48,97
2,18,19,20,20,18,95,50,48,98
3,18,18,20,20,18,94,49,49,98
4,19,18,18,20,20,95,49,48,97
5,18,20,18,18,19,93,48,50,98
6,18,19,20,20,20,97,49,48,97
7,20,20,19,20,18,97,50,48,98
8,20,18,20,18,18,94,48,48,96
9,19,18,19,20,20,96,50,49,99
10,19,20,20,19,18,96,49,49,98
11,20,18,19,20,19,96,50,48,98
12,18,19,19,20,18,94,48,49,97
13,19,19,19,18,19,94,48,49,97
14,18,19,19,20,19,95,50,50,100
15,20,20,19,20,20,99,48,50,98
16,19,20,19,18,20,96,48,50,98
17,19,18,18,19,19,93,48,50,98
18,18,18,19,18,19,92,48,48,96
19,20,18,18,18,20,94,49,50,99
20,20,18,19,19,20,96,48,50,98
21,18,19,19,18,19,93,49,50,99
22,19,20,19,20,18,96,49,49,98
23,19,18,20,19,20,96,50,50,100
24,19,19,19,19,19,95,49,48,97
25,20,20,18,19,20,97,49,50,99
26,18,18,19,19,19,93,48,48,96
27,18,20,19,18,18,93,48,50,98
28,19,20,19,19,19,96,49,48,97
29,20,18,20,19,20,97,50,48,98
30,20,18,19,18,18,93,49,50,99
31,19,19,18,18,18,92,48,50,98
